,epoch_accuracies,epoch_accuracies_real,epoch_accuracies_fake,epoch_auc_scores,epoch_f1_scores,mean_real,mean_fake,loss_d,loss_rf_real,loss_rf_fake_d,loss_g
14,0.9831223628691983,0.9717827004219409,0.9944620253164557,0.9988132911392406,0.9813251631462787,0.9527834,0.018368857,0.14218067612601168,0.07989218870185939,0.0622884879893975,6.606918461715119
15,0.9767492967651195,0.9677390998593531,0.9857594936708861,0.9977914029535865,0.9739538178824728,0.950701,0.02698225,0.16510194670634917,0.09132155595843947,0.07378039108312945,7.116877477380294
16,0.9781118143459916,0.9675632911392406,0.9886603375527426,0.997956223628692,0.9754391379476756,0.9481577,0.028704457,0.1569116288294548,0.08282082701068635,0.0740908015915905,6.299145719107194
17,0.9707718002812941,0.9536744022503515,0.9878691983122363,0.9960461351383029,0.9672391172600253,0.9356564,0.027032591,0.21726746441558678,0.12288928149316046,0.09437818284604028,7.367446878791358
18,0.9810126582278481,0.9678270042194093,0.994198312236287,0.9995879483122363,0.978543610734796,0.9475176,0.021455977,0.16293235893831845,0.08510514916363676,0.07782720987992979,6.508798917134603
19,0.9760021097046413,0.959915611814346,0.9920886075949367,0.9953190928270043,0.9697110447325081,0.94175607,0.026996978,0.20998465539382835,0.11779076692895767,0.09219388780491572,6.261699465759696
20,0.9751670182841068,0.9649261603375527,0.9854078762306612,0.9981631651429911,0.9726677858890626,0.94548106,0.030762192,0.1724378310138053,0.09593347352485872,0.07650435804943326,6.287962362233094
21,0.9857594936708861,0.9778481012658228,0.9936708860759493,0.9990440400843882,0.9834259955152627,0.9595103,0.021223046,0.11625373828517595,0.06191359910515737,0.05434013896930363,6.410785548294647
22,0.9771888185654009,0.9665084388185654,0.9878691983122363,0.9970661919831224,0.9723708037470158,0.9474495,0.028322663,0.1571199579477774,0.08644917645900134,0.07067078152151977,6.356803729564329
23,0.9736286919831224,0.9604430379746836,0.9868143459915611,0.9986155063291139,0.9693732480339777,0.93781716,0.031939525,0.19258886203943468,0.1064575650542877,0.08613129651815216,6.14781448559419
24,0.9831223628691983,0.9738924050632911,0.9923523206751055,0.9965058016877637,0.9799356338177343,0.9612592,0.018902883,0.12378672272997418,0.06822317987942135,0.05556354279041393,7.214679280413857
25,0.977892053445851,0.9676511954992967,0.9881329113924051,0.99729694092827,0.975116597736028,0.950893,0.028485334,0.16518143044547906,0.09533698161941916,0.06984444924510094,6.677004950207497
26,0.9680907172995781,0.9541139240506329,0.9820675105485233,0.9977914029535865,0.9630185786532202,0.93418396,0.03415442,0.23541752226873722,0.12364506182478173,0.11177245983549687,7.156705566599399
27,0.9741561181434599,0.9622890295358649,0.9860232067510548,0.9971815664556962,0.9720116870640811,0.9418285,0.030351764,0.18175720620383645,0.09807516613322925,0.08368204059527629,6.795783181733723
28,0.9737165963431785,0.9653656821378341,0.9820675105485233,0.9954509493670886,0.9710400731050938,0.94577825,0.03284843,0.17380450225119845,0.08747063392858029,0.08633386760383577,6.909321484434956
29,0.973496835443038,0.9588607594936709,0.9881329113924051,0.9965552478902954,0.9694400059581453,0.94215393,0.026567701,0.2035220724831135,0.11183920318215311,0.09168286898264204,7.578397360532093
30,0.9712992264416316,0.9568389592123768,0.9857594936708861,0.9959618934599156,0.9676049524241741,0.9373766,0.02994392,0.19833539360112468,0.11174787070471795,0.08658752339640431,6.493264149198552
31,0.9736286919831224,0.9654535864978903,0.9818037974683544,0.9965552478902954,0.9728818210360722,0.94575316,0.03165755,0.182421064025915,0.08843046569578898,0.09399059793739675,7.899687297233549
32,0.9654535864978903,0.9517405063291139,0.9791666666666666,0.9970826740506329,0.9599962926179068,0.9335404,0.03816959,0.2425481044618071,0.1274829709633713,0.11506513317655559,6.9660866949628675
33,0.9679588607594937,0.9536744022503515,0.9822433192686358,0.9936415846225972,0.9638821892915153,0.92735034,0.03826712,0.23035154723867338,0.12372641441399868,0.1066251325230832,6.075589411872349
34,0.9702004219409283,0.9580696202531646,0.982331223628692,0.9961926424050633,0.9651653387568947,0.9400855,0.035439022,0.205999390575799,0.10575705935423085,0.1002423314241648,6.431851854304221
35,0.9803533755274262,0.9680907172995781,0.9926160337552743,0.9983023470464135,0.9777594408921372,0.9474567,0.02456933,0.15913647124253977,0.08304188804361956,0.07609458333084874,6.610049053586485
